Name,Subcategory 1,Category,Image,Store,Price,Description,Weight
Соль,Соль,Бакалея,/images/salt.jpg,Green,52,"Соль - важнейшая приправа в истории человечества, она придает вкус пище, с ее помощью мы засаливаем и консервируем продукты впрок, кроме того, соль просто необходима нашему организму, для полноценного функционирования.",1 кг
Соль,Соль,Бакалея,/images/salt.jpg,Magnum,49,"Соль - важнейшая приправа в истории человечества, она придает вкус пище, с ее помощью мы засаливаем и консервируем продукты впрок, кроме того, соль просто необходима нашему организму, для полноценного функционирования.",1 кг
Соль,Соль,Бакалея,/images/salt.jpg,Galmart,55,"Соль - важнейшая приправа в истории человечества, она придает вкус пище, с ее помощью мы засаливаем и консервируем продукты впрок, кроме того, соль просто необходима нашему организму, для полноценного функционирования.",1 кг
Соль,Соль,Бакалея,/images/salt.jpg,Ramstore,53,"Соль - важнейшая приправа в истории человечества, она придает вкус пище, с ее помощью мы засаливаем и консервируем продукты впрок, кроме того, соль просто необходима нашему организму, для полноценного функционирования.",1 кг
Сахар,Сахар,Бакалея,/images/sugar.jpg,Green,181," Сахар - это простое название сахарозы, сахар представляет собой легкоусвояемый углевод и является основным компонентом кондитерских изделий. Сахар продукт повседневный и стратегический, мы привыкли закупать его в больших количествах. Сделайте заказ на нашем сайте и мы привезем вам продукты на дом или в офис.",1 кг
Сахар,Сахар,Бакалея,/images/sugar.jpg,Magnum,175," Сахар - это простое название сахарозы, сахар представляет собой легкоусвояемый углевод и является основным компонентом кондитерских изделий. Сахар продукт повседневный и стратегический, мы привыкли закупать его в больших количествах. Сделайте заказ на нашем сайте и мы привезем вам продукты на дом или в офис.",1 кг
Сахар,Сахар,Бакалея,/images/sugar.jpg,Galmart,183," Сахар - это простое название сахарозы, сахар представляет собой легкоусвояемый углевод и является основным компонентом кондитерских изделий. Сахар продукт повседневный и стратегический, мы привыкли закупать его в больших количествах. Сделайте заказ на нашем сайте и мы привезем вам продукты на дом или в офис.",1 кг
Сахар,Сахар,Бакалея,/images/sugar.jpg,Ramstore,182," Сахар - это простое название сахарозы, сахар представляет собой легкоусвояемый углевод и является основным компонентом кондитерских изделий. Сахар продукт повседневный и стратегический, мы привыкли закупать его в больших количествах. Сделайте заказ на нашем сайте и мы привезем вам продукты на дом или в офис.",1 кг
Соль,Соль,Бакалея,/images/salt_iod.jpg,Green,50,"Соль поваренная пищевая йодированная.
Мягкая упаковка.
Производитель: ТОО ""ПАВЛОДАРСОЛЬ""",1 кг
Соль,Соль,Бакалея,/images/salt_iod.jpg,Magnum,53,"Соль поваренная пищевая йодированная.
Мягкая упаковка.
Производитель: ТОО ""ПАВЛОДАРСОЛЬ""",1 кг
Соль,Соль,Бакалея,/images/salt_iod.jpg,Galmart,52,"Соль поваренная пищевая йодированная.
Мягкая упаковка.
Производитель: ТОО ""ПАВЛОДАРСОЛЬ""",1 кг
Соль,Соль,Бакалея,/images/salt_iod.jpg,Ramstore,49,"Соль поваренная пищевая йодированная.
Мягкая упаковка.
Производитель: ТОО ""ПАВЛОДАРСОЛЬ""",1 кг
Молоко Домик в Деревне,Молоко,Молочные Продукты,/images/milk_dvd_3-2.jpg,Green,290,"Жирность: 3,2%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне,Молоко,Молочные Продукты,/images/milk_dvd_3-2.jpg,Magnum,285,"Жирность: 3,2%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне,Молоко,Молочные Продукты,/images/milk_dvd_3-2.jpg,Galmart,293,"Жирность: 3,2%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 3.2%,Молоко,Молочные Продукты,/images/milk_dvd_3-2.jpg,Ramstore,297,"Жирность: 3,2%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Green,320,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Magnum,310,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Galmart,320,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
Молоко Домик в Деревне 6%,Молоко,Молочные Продукты,/images/milk_dvd_6.jpg,Ramstore,324,"Жирность: 6%. Форма упаковки: Тетра-пак. Молоко Домик в деревне коровье, стерилизованное, маложирное. Состав: нормализованное молоко. Срок хранения: 6 мес. Температура хранения: от +0 до +25 С. Производитель: ОАО ""Лианозовский молочный комбинат"", Россия.",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Green,245,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Magnum,248,"Тип Стерилизованное
Производитель ОДАРИ",1 л
"Молоко ОДАРИ, 2,5%",Молоко,Молочные Продукты,/images/milk_odari_2-5.jpg,Galmart,243,"Тип Стерилизованное
Производитель ОДАРИ",1 л
